"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка корзины после добавления товара","1025","Проверка товара, который был добавлен в корзину","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Chrome","tests.CartTest","checkCart"
"Проверка отмены на overview page","1230","Проверка отмены на overview page","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutOverviewTest","Edge","tests.CheckoutOverviewTest","checkOrderCancel"
"","496","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка checkout с пустой фамилией","1132","Проверка checkout с пустым полем Фамилии","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyLastName"
"Проверка checkout с позитивным Именем, Фамилией и кодом","1101","Проверка checkout с позитивным Именем, Фамилией и кодом","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkPositiveCheckout"
"Проверка удаления товара из корзины","851","Товар из корзины удаляется","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.RemoveFromCartTest","Edge","tests.RemoveFromCartTest","checkRemoveProductFromCart"
"Проверка отмены на overview page","1072","Проверка отмены на overview page","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutOverviewTest","Chrome","tests.CheckoutOverviewTest","checkOrderCancel"
"Проверка checkout с позитивным Именем, Фамилией и кодом","972","Проверка checkout с позитивным Именем, Фамилией и кодом","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkPositiveCheckout"
"Проверка checkout с пустым Именем","1069","Проверка checkout с пустым Именем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyFirstName"
"Проверка корзины после добавления товара","1174","Проверка товара, который был добавлен в корзину","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CartTest","Edge","tests.CartTest","checkCart"
"Проверка логина с пустым паролем","2650","Проверка логина с пустым паролем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithEmptyPassword"
"Проверка checkout с пустым полем код","1091","Проверка checkout с пустым полем Код","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Edge","tests.CheckoutInfoTest","checkCheckoutWithEmptyPostalCode"
"Проверка логина с пустым паролем","958","Проверка логина с пустым паролем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithEmptyPassword"
"","549","checkLoginWithNegativeCred1","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeCred1"
"Проверка checkout с пустым Именем","999","Проверка checkout с пустым Именем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyFirstName"
"Проверка логина с позитивным логином и паролем","633","Проверка логина с позитивным логином и паролем","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithPositiveCred"
"","1154","Проверка логирования + добавления товара + оформления заказа","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.EndToEndTest","Edge","tests.EndToEndTest","checkEndToEndTest"
"Проверка удаления товара из корзины","756","Товар из корзины удаляется","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.RemoveFromCartTest","Chrome","tests.RemoveFromCartTest","checkRemoveProductFromCart"
"Проверка выполнения logout","1211","Проверка, что logout выполнен","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.LogoutTest","Chrome","tests.LogoutTest","checkLogout"
"Проверка checkout с пустым полем код","940","Проверка checkout с пустым полем Код","SauceDemo suite","2026-06-08","passed","2026-06-08","tests.CheckoutInfoTest","Chrome","tests.CheckoutInfoTest","checkCheckoutWithEmptyPostalCode"
