"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sauce Demo 1","0","Log in","1","0","Log in with empty password","0"
"0","Sauce Demo 1","0","Checkout Overview","1","0","Canceling order in Checkout overview page","0"
"0","Sauce Demo 1","0","Cart","1","0","Removing product from cart","0"
"0","Sauce Demo 1","0","Checkout Info","1","0","Checkout with empty last name","0"
"0","Sauce Demo 1","0","Checkout Info","1","0","Checkout with empty first name","0"
"0","Sauce Demo 1","0","End to end test","1","0","Full positive steps for ordering","0"
"0","Sauce Demo 1","0","Checkout Info","1","0","Checkout with positive data","0"
"0","Sauce Demo 1","0","Log in","1","0","Log in with negative credential","2"
"0","Sauce Demo 1","0","Log out","1","0","Log out is come back to Log in page","0"
"0","","0","","2","0","","0"
"0","Sauce Demo 1","0","Log in","1","0","Log in with positive credential","0"
"0","Sauce Demo 1","0","Checkout Info","1","0","Checkout with empty code","0"
"0","Sauce Demo 1","0","Cart","1","0","Add to cart","0"
"0","Sauce Demo 1","0","Checkout Overview","1","0","Overview page with correct data","0"
